,タイトル,url,ID,Title,main key,Category,SKU,説明,状態,画像1,画像2,画像3,画像4,画像5,画像6,画像7,現在価格,即決価格
0,コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPERS キャプテンレックス、コーディー、グリー　美品　ボーナスパーツ付き,https://page.auctions.yahoo.co.jp/jp/auction/s747668267,s747668267,"0    コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPER...
Name: タイトル, dtype: object",star wars,75708.0,41f5-8935-2218c2516270-s747668267-202007-2319-1135, コトブキヤ スターウォーズ ARTFX + CLONE WARS シリーズ2：TROOPERS キャプテンレックス、コーディー、グリー 美品 ボーナスパーツ付き断捨離のため手放すことにしました。かなり後悔しそうですが、次のスターウォーズファン、コレクターの方に引き渡そうと思います。それほどこのコトブキヤから出されたクローンウォーズシリーズ2は、激レアです。ほぼ市場に出ておらず、生産も終了しています。箱も中身も状態が良くほぼ未使用の状態です。一体ずつの販売はいたしませんのでご了承下さい。欠品、破損はございません。ご購入ご検討の程よろしくお願いいたします。 , 未使用に近い ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/00a11754400ad66fd2d1feac0452dbf6293ba73e/i-img1200x900-1589720027gbmrds188840.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/00a11754400ad66fd2d1feac0452dbf6293ba73e/i-img1200x900-1589720027wtijv2188840.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/00a11754400ad66fd2d1feac0452dbf6293ba73e/i-img1200x900-1589720027qj4ded188840.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/00a11754400ad66fd2d1feac0452dbf6293ba73e/i-img1200x900-1589720027urhtwn188840.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/00a11754400ad66fd2d1feac0452dbf6293ba73e/i-img1200x900-1589720027ycslpx188840.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/00a11754400ad66fd2d1feac0452dbf6293ba73e/i-img1200x900-1589720027a0jj8h188840.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/00a11754400ad66fd2d1feac0452dbf6293ba73e/i-img1200x900-1589720027qrqrrs188840.jpg,," 49,000"
1,スター・ウォーズ クローン・ウォーズ ARTFX＋ アナキン・スカイウォーカー 塗装済み簡易組立キット フィギュア コトブキヤ,https://page.auctions.yahoo.co.jp/jp/auction/u370179104,u370179104,"0    コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPER...
Name: タイトル, dtype: object",star wars,75708.0,4b33-bd2b-4370c50a084d-u370179104-202007-2319-1135,,,,,,,,,,,
2,未開封 コトブキヤ ARTFX+ STAR WARS スターウォーズ クローンウォーズ オビ=ワン・ケノービ ,https://page.auctions.yahoo.co.jp/jp/auction/p767607347,p767607347,"0    コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPER...
Name: タイトル, dtype: object",star wars,75708.0,4714-9841-264032562455-p767607347-202007-2319-1135,,,,,,,,,,,
3,コトブキヤ ARTFX+ スターウォーズ R2-Q5 2013 NYCC Exclusive Edition / B00JA919Z2-48,https://page.auctions.yahoo.co.jp/jp/auction/k483497145,k483497145,"0    コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPER...
Name: タイトル, dtype: object",star wars,75708.0,434d-9ddf-be02a93ce9f0-k483497145-202007-2319-1135,,,,,,,,,,,
4,【未開封】コトブキヤ ARTFX スター・ウォーズ ダース・モール ライトアップ版 1/7スケールフィギュア / B003XTKMBC-110,https://page.auctions.yahoo.co.jp/jp/auction/b468858355,b468858355,"0    コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPER...
Name: タイトル, dtype: object",star wars,75708.0,4351-8999-87ad610221a3-b468858355-202007-2319-1135,,,,,,,,,,,
5,コトブキヤ ARTFX スターウォーズ 1/10 フォースの覚醒 レイ フィン ポーダメロン BB-8 ハンソロ チューバッカ,https://page.auctions.yahoo.co.jp/jp/auction/s747203762,s747203762,"0    コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPER...
Name: タイトル, dtype: object",star wars,75708.0,41b8-ae2d-8980982ed8aa-s747203762-202007-2319-1135,,,,,,,,,,,
6,スターウォーズ artfx タイファイター・パイロット フィギュア スタチュー コトブキヤ KOTOBUKIYA,https://page.auctions.yahoo.co.jp/jp/auction/u354075360,u354075360,"0    コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPER...
Name: タイトル, dtype: object",star wars,75708.0,4b4d-abf7-d02a55087e52-u354075360-202007-2319-1135,,,,,,,,,,,
7,ARTFX+ STAR WARS スターウォーズ ヨーダ R2D2 1/10スケール フィギュア 壽屋 コトブキヤ 未開封新品 送料無料,https://page.auctions.yahoo.co.jp/jp/auction/v705366489,v705366489,"0    コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPER...
Name: タイトル, dtype: object",star wars,75708.0,4189-9063-d8a4d7f425d3-v705366489-202007-2319-1135,,,,,,,,,,,
8,内未開封 スターウォーズ artfx コトブキヤ ヨーダvsパルパティーン フィギュア kotobukiya,https://page.auctions.yahoo.co.jp/jp/auction/w389560017,w389560017,"0    コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPER...
Name: タイトル, dtype: object",star wars,75708.0,4223-8953-ca0d8b8e7529-w389560017-202007-2319-1135,,,,,,,,,,,
9,【送料無料】 コトブキヤ ARTFX+ STAR WARS レイ & フィン 2パック フォースの覚醒版 1/10スケール PVC製 塗装済み簡易組立フィギュア,https://page.auctions.yahoo.co.jp/jp/auction/d459999962,d459999962,"0    コトブキヤ スターウォーズ　ARTFX + CLONE WARS シリーズ2：TROOPER...
Name: タイトル, dtype: object",star wars,75708.0,40ec-bf81-a014c84aecbd-d459999962-202007-2319-1135,,,,,,,,,,,
