,タイトル,URL_y,ID,Title,main key,Category,SKU,説明,状態_y,画像1,画像2,画像3,画像4,画像5,画像6,画像7,現在価格,即決価格,相場価格,自己設定価格,最高販売価格,最安仕入価格,kg,integrated,相場価格,最高販売価格,最高売値,最安仕入価格,粗利,希望利益率,仕入送料,送料設定,送料,出品料,落札料,Paypal,支出合計,仕入れ値上限,営業利益,利益率,販売額,希望営業利益,Positive,Middle,Negative
0,【未使用】コトブキヤ ARTFX+ スターウォーズ BOBA FETT CLOUD CITY Ver. ボバ・フェット クラウド・シティ版,https://page.auctions.yahoo.co.jp/jp/auction/x740172626,x740172626,【未使用】コトブキヤ ARTFX+ スターウォーズ BOBA FETT CLOUD CITY Ver. ボバ・フェット クラウド・シティ版,star wars,75708.0,44d5-9a11-98df0edee0d1-x740172626-202011-0319-3701, STAR WARS BOBA FETT フィギュア中身確認のため、開封しています。何かご不明点あればご連絡ください。よろしくお願いします。 ・商品受け取り後は 、「3日以内」に受け取り連絡をお願いします。 ・評価の悪い人は、こちらの判断でキャンセルする場合があります。 ・落札後は、2日以内にご連絡をお願いします。 , 未使用 ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/6/8/6/6/twilight_firstlove-img662x883-1604307241vtq2am25558.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/6/8/6/6/twilight_firstlove-img662x883-1604307241zfy0n325558.jpg,,,,,," 7,000","12,000",21000.0,0,21000.0,12000,0.7,0.7,21000.0,21000.0,23685.0,12000,11685.0,25,1000,0.5~0.8kg,1685,0,2368.5,923.7,100453.0,12786.5,-88768.0,-26.7,22397.7,-90055.3,29685.5,22397.7,17522.4
1,コトブキヤ 壽屋 ARTFX+ 1/10 IG-11 検索) マンダロリアン スターウォーズ サイドショウ アイアンスタジオ,https://page.auctions.yahoo.co.jp/jp/auction/o433002563,o433002563,コトブキヤ 壽屋 ARTFX+ 1/10 IG-11 検索) マンダロリアン スターウォーズ サイドショウ アイアンスタジオ,star wars,75708.0,489e-8bda-eade1850917e-o433002563-202011-0319-3701, コトブキヤ 壽屋ARTFX+1/10スケールIG-11開封済み、付属品はすべて揃っていると思います。写真でご確認をお願い致します。新品購入後、ガラスケース内で大事に飾っていました。その後は各パーツを保護ビニールに入れ箱に戻して保管していたので、目立つ傷みはなく綺麗な状態です。箱にも目立つ傷みはありませんが、保管時のスレやキズ等が見られます。美品ですがあくまで中古品ですので、見落としを含めご理解の上で入札をお願い致します。発送はヤフネコ宅急便・ゆうパックおてがる版80サイズを予定しております。＊送料を80サイズに抑える為、パッケージを包装紙とプチプチ緩衝材で梱包しての発送となりますので宜しくお願い致します。それでは、ノークレームノーリターンでお願い致します。 , 目立った傷や汚れなし ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/81979c67512adcbcbd77e461c269911114af2853/i-img1200x1176-1603794879wbgfnk32630.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/81979c67512adcbcbd77e461c269911114af2853/i-img900x1200-1603794879cjns0132630.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/81979c67512adcbcbd77e461c269911114af2853/i-img1115x1200-1603794879ikuyej32630.jpg,,,,,," 5,800",8700.0,0,8700.0,5800,0.7,0.7,8700.0,8700.0,11385.0,5800,5585.0,25,1000,0.5~0.8kg,1685,0,1138.5,444.0,100453.0,5271.2,-94868.0,-12.0,12250.4,-94002.6,16236.4,12250.4,9583.9
2,スターウォーズ artfx コトブキヤ オビ＝ワン・ケノービ フィギュア ,https://page.auctions.yahoo.co.jp/jp/auction/510832888,510832888,スターウォーズ artfx コトブキヤ オビ＝ワン・ケノービ フィギュア ,star wars,75708.0,-4fcb-8663-227b9e39a08c-510832888-202011-0319-3701, 【お支払いについて】落札から48時間以内にお支払いをお願い致しますそれまでにご連絡、ご入金なければ落札者様都合で削除させて頂く事があります。 その場合、落札者様には自動で悪い評価がつきますのでご理解下さい。出品商品に関して質問等あれば落札前にお願い致します【商品説明】現状品破損あり中古品傷、汚れ、ホコリの付着は基本的にあると思って下さい【箱ありの商品に関して】中古品、未使用品に関わらず、箱の状態を極度に気にする方は入札をお控え下さい素人保管なので未使用であっても箱に傷、汚れ、ホコリ、凹みなどがある場合がございます【発送に関して】梱包には定形外紙、プチプチ、段ボール、包装紙などを使用します ↑↑↑これらは全て当方が実費で負担しています。送料に誤差が生じる場合がございますが、返金は出来ません。送料＋梱包代とお考え下さい。土日祝は基本的に発送はしておりません。評価はまだ浅いですが最後まで誠意を持って対応しますのでお願い致します。 , 傷や汚れあり ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841pqo17o1495476.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-16027518411djkdn1495476.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841f4uoil1495476.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841tvhkoj1495476.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841ty2ith1495476.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841jqcmzf1495476.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841jsm1ed1495476.jpg,," 12,000",18000.0,0,18000.0,12000,0.7,0.7,18000.0,18000.0,20685.0,12000,8685.0,25,1000,0.5~0.8kg,1685,0,2068.5,806.7,100453.0,10953.5,-91768.0,-22.5,22397.7,-90055.3,29685.5,22397.7,17522.4
3,スターウォーズ artfx コトブキヤ ヨーダ フィギュア,https://page.auctions.yahoo.co.jp/jp/auction/g463744150,g463744150,スターウォーズ artfx コトブキヤ ヨーダ フィギュア,star wars,75708.0,40f8-9536-101a6881ff97-g463744150-202011-0319-3701, 【お支払いについて】落札から48時間以内にお支払いをお願い致しますそれまでにご連絡、ご入金なければ落札者様都合で削除させて頂く事があります。 その場合、落札者様には自動で悪い評価がつきますのでご理解下さい。出品商品に関して質問等あれば落札前にお願い致します【商品説明】現状品中古品傷、汚れ、ホコリの付着は基本的にあると思って下さい【箱ありの商品に関して】中古品、未使用品に関わらず、箱の状態を極度に気にする方は入札をお控え下さい素人保管なので未使用であっても箱に傷、汚れ、ホコリ、凹みなどがある場合がございます【発送に関して】梱包には定形外紙、プチプチ、段ボール、包装紙などを使用します ↑↑↑これらは全て当方が実費で負担しています。送料に誤差が生じる場合がございますが、返金は出来ません。送料＋梱包代とお考え下さい。土日祝は基本的に発送はしておりません。評価はまだ浅いですが最後まで誠意を持って対応しますのでお願い致します。 , 傷や汚れあり ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-16027518990qtol11263936.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751899c3r4sz1263936.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751899jvfh071263936.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751899ikby8f1263936.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751899vgxrze1263936.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841jqcmzf1495476.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841jsm1ed1495476.jpg,," 12,000",18000.0,0,18000.0,12000,0.7,0.7,18000.0,18000.0,20685.0,12000,8685.0,25,1000,0.5~0.8kg,1685,0,2068.5,806.7,100453.0,10953.5,-91768.0,-22.5,22397.7,-90055.3,29685.5,22397.7,17522.4
4,【未使用】コトブキヤ ARTFX+ スターウォーズ R2-D2 & C-3PO,https://page.auctions.yahoo.co.jp/jp/auction/d462055614,d462055614,【未使用】コトブキヤ ARTFX+ スターウォーズ R2-D2 & C-3PO,star wars,75708.0,4727-90ae-aa4fbcec6176-d462055614-202011-0319-3701, 中身確認のため、開封しています。何かご不明点あればご連絡ください。よろしくお願いします。 ・商品受け取り後は 、「3日以内」に受け取り連絡をお願いします。 ・評価の悪い人は、こちらの判断でキャンセルする場合があります。 ・落札後は、2日以内にご連絡をお願いします。 , 未使用 ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/6/8/6/6/twilight_firstlove-img883x662-1604307765xkkity31246.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/6/8/6/6/twilight_firstlove-img1177x883-1604307765ebbjho31246.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/6/8/6/6/twilight_firstlove-img1177x883-1604307765uhmv8r31246.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751899ikby8f1263936.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751899vgxrze1263936.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841jqcmzf1495476.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841jsm1ed1495476.jpg," 8,500","13,500",25500.0,0,25500.0,13500,0.7,0.7,25500.0,25500.0,28185.0,13500,14685.0,25,1000,0.5~0.8kg,1685,0,2818.5,1099.2,100453.0,15536.0,-85768.0,-32.9,24852.7,-89100.3,32939.3,24852.7,19443.0
5,【未使用】コトブキヤ ARTFX+ スターウォーズ BLACKHOLE STORMTROOPER ブラックホール ストームトルーパー,https://page.auctions.yahoo.co.jp/jp/auction/l645197944,l645197944,【未使用】コトブキヤ ARTFX+ スターウォーズ BLACKHOLE STORMTROOPER ブラックホール ストームトルーパー,star wars,75708.0,4922-ba67-850b83f6a4d2-l645197944-202011-0319-3701, 中身確認のため、開封しています。何かご不明点あればご連絡ください。よろしくお願いします。 ・商品受け取り後は 、「3日以内」に受け取り連絡をお願いします。 ・評価の悪い人は、こちらの判断でキャンセルする場合があります。 ・落札後は、2日以内にご連絡をお願いします。 , 未使用 ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/6/8/6/6/twilight_firstlove-img1177x883-1604306669lymocy27408.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/4d6ccc87d6e1211a98d1af1516150d6f5aaeab8e/i-img707x943-1604306777yq9ulo1983998.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/6/8/6/6/twilight_firstlove-img1177x883-1604307765uhmv8r31246.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751899ikby8f1263936.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751899vgxrze1263936.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841jqcmzf1495476.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4968b4ee54187bbd16a2efd848295e9d55d583da/i-img898x1198-1602751841jsm1ed1495476.jpg," 10,000","15,000",30000.0,0,30000.0,15000,0.7,0.7,30000.0,30000.0,32685.0,15000,17685.0,25,1000,0.5~0.8kg,1685,0,3268.5,1274.7,100453.0,18285.5,-82768.0,-39.5,27307.7,-88145.3,36193.1,27307.7,21363.6
6,コトブキヤ【スターウォーズ◆スノートルーパー 大型フィギュア】寿屋◆star wars◆高さ32㎝◆937g,https://page.auctions.yahoo.co.jp/jp/auction/o419682843,o419682843,コトブキヤ【スターウォーズ◆スノートルーパー 大型フィギュア】寿屋◆star wars◆高さ32㎝◆937g,star wars,75708.0,456e-8ca4-e15c691e5501-o419682843-202011-0319-3701, コトブキヤ【スターウォーズ◆スノートルーパー 大型フィギュア】 商品詳細 ご覧いただきありがとうございます。 コトブキヤ【スターウォーズ◆スノートルーパー 大型フィギュア】の出品です。 【サイズ目安】 高さ：32㎝ 重量：937g 【商品の状態】 中古品です。 外観での大きな破損はありません。 台座の裏面には「2005」の刻印があります。 シリアルナンバーらしき刻印があります。『F1128』 古い品につき傷・汚れがあります。また塗装の削れている部分も数カ所あります。(写真参照) 傷のある中古品につき、細かな点が気になる方は入札をお控え下さい。 ※作業日数が少ない為、迅速な対応やこまめなメッセージは出来ません。 注意事項欄に記載がありますので、入札前に必ずご確認下さい。 配送 配送情報につてはオークションページの最後にある「配送方法の詳細」をクリックしてご確認下さい。 保証 出品の内容と異なる場合に限り保証対応させていただきます。商品到着より１週間以内に、取引メッセージよりご連絡下さい。評価からの連絡では対応が出来ませんのでよろしくお願いします。。 但し、【ジャンク】の記載がある商品は、記載内容と異なる場合でも保証は一切ございませんのでご注意下さい。 沖縄と離島より返送される場合は、返送料金は落札者様負担となります。予めご了承下さい。 沖縄と離島以外の方は、指定の返送方法に限り当方にて送料負担致しますのでご安心ください。尚、指定以外の返送方法の場合は落札者様負担となります。 注意事項 ご覧いただきありがとうございます。 ご不明な点はお気軽にご質問下さい。 当方は騙すつもりで出品している訳ではありません。 万が一、商品不良やチェック漏れなどあった場合に、喧嘩腰で対応してくる方や問い合わせ等なく即悪い評価を入れる方は入札をご遠慮下さい。 そんな場合でも優しい気持ちで応対してくれる方のみご入札お願いします。 お互いに気持ち良いお取引が出来たら嬉しいです。どうぞよろしくお願いします。 コメント 基本的に平日の夜で週に２～３日のみ作業や管理を行っています。 作業日数が少ない為、お急ぎの方は入札をお控え下さい。 作業日数が少ない為、長い時で４～５日程は一切の連絡が出来ません。 作業日数が少ない為、質問やお問い合わせメッセージを頂いても返信まで日数がかかります。 作業日数が少ない為、こちらで入金確認してから発送までに3～5日程かかります。 作業日数が少ない為、お支払い後の「発送はいつになりますか？」と言う質問への回答は出来ない事が多いです。 基本情報の入力のみで社交辞令などのメッセージのやり取りは行なっておりません。こまめなやり取りを希望される方は入札をお控え下さい。 基本的に当方からの連絡は発送時の案内のみとなります。入金確認完了や発送予定日等の連絡は行なっておりませんが、入金確認後３～５日で必ず発送致しますのでご安心下さい。 以上の様に迅速な対応や細目なメッセージのやり取りが出来ません。ご理解頂ける方のみ入札お願いします。 以上をご理解いただき、返信・対応・発送が遅い、挨拶やメッセージがないなどの理由で評価を下げる事の無い様にお願い致します。 商品の状態は中古品を基準に記載しています。「美品」の場合、「一般的な中古品と比べて綺麗な方」と言う意味で、傷・汚れが無い訳ではありませんので、ご理解の上入札お願いします。 また状態の判断や表現には個人差がございます。その辺りをご理解いただきご入札お願いします。思ったより状態が悪い・状態説明の言葉が適切ではない等、個人差による苦情がない様にお願いします。 稀に運送会社に受け取り拒否される事がありますが、その際は配送方法の変更を行いますのでご協力お願いします。 発送時の梱包は再利用品を使用した簡易梱包となります。 箱が付属している商品は、その箱に直接テープや伝票を貼り発送しています。予めご了承下さい。 値段交渉や個人情報の含まれる質問などには回答を行っておりません。 代金のお支払いはかんたん決済支払期限内にお願いします。お支払のないまま期限を過ぎてしまった場合は、落札者様都合にて削除させていただきます。 匿名配送利用の為、領収書の発行は行っておりません。オークションページ等を印刷してご対応下さい。 特別な希望がある場合は入札前にご質問お願いします。落札後は対応出来ない場合もあります。（何にちまでに発送して下さい。とか 箱に伝票を貼らないで下さい。など） + + + この商品説明は オークションプレートメーカー２ で作成しました + + +No.212.001.004 , 傷や汚れあり ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0108/users/a08b31b69a113e152517554e16b3ed49ed9d0900/i-img900x1200-1598626516tjj41s3328185.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0108/users/a08b31b69a113e152517554e16b3ed49ed9d0900/i-img900x1200-1598626518va03qp3028153.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0108/users/a08b31b69a113e152517554e16b3ed49ed9d0900/i-img900x1200-1598626520yf2srz2827568.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0108/users/a08b31b69a113e152517554e16b3ed49ed9d0900/i-img900x1200-1598626523dxibzs2691998.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0108/users/a08b31b69a113e152517554e16b3ed49ed9d0900/i-img900x1200-1598626525za3j1e3302129.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0108/users/a08b31b69a113e152517554e16b3ed49ed9d0900/i-img1200x900-1598626528c3b8sz3028129.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0108/users/a08b31b69a113e152517554e16b3ed49ed9d0900/i-img900x1200-1598626530vuonx53176904.jpg,," 5,000",7500.0,0,7500.0,5000,0.7,0.7,7500.0,7500.0,10185.0,5000,5185.0,25,1000,0.5~0.8kg,1685,0,1018.5,397.2,100453.0,4538.0,-95268.0,-10.7,10941.1,-94511.9,14501.1,10941.1,8559.5
7,【送料無料】 コトブキヤ ARTFX+ STAR WARS レイ & フィン 2パック フォースの覚醒版 1/10スケール PVC製 塗装済み簡易組立フィギュア,https://page.auctions.yahoo.co.jp/jp/auction/x739331100,x739331100,【送料無料】 コトブキヤ ARTFX+ STAR WARS レイ & フィン 2パック フォースの覚醒版 1/10スケール PVC製 塗装済み簡易組立フィギュア,star wars,75708.0,4e3a-83c3-e9c06ced6741-x739331100-202011-0319-3701, 【送料無料】 コトブキヤ ARTFX+ STAR WARS レイ &amp; フィン 2パック フォースの覚醒版 1/10スケール PVC製 塗装済み簡易組立フィギュア 商品説明 ブランド：壽屋(KOTOBUKIYA)リーズナブルで集めやすいサイズ。スター・ウォーズフィギュアの新スタンダードARTFX+。 「スター・ウォーズ/フォースの覚醒」から主人公のレイとフィンが登場! 『スター・ウォーズ/フォースの覚醒』ARTFX+「第6弾」は、惑星ジャクーで家族を待ち続けるヒロインで強力なフォースに覚醒したレイと、ファースト・オーダーから脱走した「FN-2187」こと、フィンの二人がセットで登場! レイはクォータースタ ...対象年齢 :15才以上 商品の状態について 新品未使用となっております。 未開封ですので、ご安心いただければと思います。 お支払い方法について 【お支払い方法】 ヤフー推奨のYahoo!かんたん決済にてお支払いをお願い致します。 Yahoo!マネー/預金払い クレジットカード コンビニ支払い 銀行振込 等、各種お支払いがご利用できます。 尚原則、ご入金は３日以内でお願いいたします。 落札後３日を過ぎてもご連絡がない場合は、落札者都合でのキャンセル扱いとなり、自動的に悪い評価がついてしまいます。 ご確認事項について 落札前にご確認下さい。 ご確認いただきまして、ありがとうございます。 事前にトラブルを回避するためのお取引に際してお願い事項をまとめさせていただきました。 お手数ではございますが、落札前にご一読いただけますようにお願い致します。 領収書の発行はしておりません。 土日祝祭日は質問や落札されてもメールや商品発送等、対応できない日もございます。 発送につきましては、弊社提携先の倉庫からの発送もありますのでご理解の程よろしくお願い致します。 在庫の不備により、やむを得ず、ご注文をキャンセルさせていただくことがあります。 落札後の質問、お申し出等はお受けできかねます。 受け取り連絡完了後の商品の返品、交換は基本的に受け付けておりません。 不要な評価を避けるため、定期的に出品されている方のご購入はお控えください。 NCR、NRTでお願いします。神経質な方のご購入はお控え下さいます様お願い致します。 上記確認事項に同意頂けない方のご入札は固く禁じさせて頂きます。 宜しくお願い致します。 , 未使用 ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img400x500-1604391886mdnsej545690.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img400x500-1604391886azm72n14395.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img400x500-1604391887jwaa4m724492.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img334x500-1604391887qdcovl2154458.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img334x500-16043918884srmct14390.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img334x500-1604391889zrbxzs2267992.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img400x500-16043918898ilvcx713777.jpg,," 14,252",21378.0,0,21378.0,14252,0.7,0.7,21378.0,21378.0,24063.0,14252,9811.0,25,1000,0.5~0.8kg,1685,0,2406.3,938.5,100453.0,13017.5,-90642.0,-26.5,26083.5,-88621.5,34570.5,26083.5,20405.9
8,コトブキヤ 壽屋 ARTFX+ 1/10 マンダロリアン 検索) スターウォーズ サイドショウ アイアンスタジオ ,https://page.auctions.yahoo.co.jp/jp/auction/f467728995,f467728995,コトブキヤ 壽屋 ARTFX+ 1/10 マンダロリアン 検索) スターウォーズ サイドショウ アイアンスタジオ ,star wars,75708.0,48b5-b8b1-d0f0e3c70718-f467728995-202011-0319-3701, コトブキヤ 壽屋ARTFX+1/10スケールマンダロリアン開封済み、付属品はすべて揃っていると思います。写真でご確認をお願い致します。新品購入後、ガラスケース内で大事に飾っていました。その後は各パーツを保護ビニールに入れ箱に戻して保管していたので、目立つ傷みはなく綺麗な状態です。箱にも目立つ傷みはありませんが、保管時のスレやキズ等が見られます。美品ですがあくまで中古品ですので、見落としを含めご理解の上で入札をお願い致します。発送はヤフネコ宅急便・ゆうパックおてがる版80サイズを予定しております。＊送料を80サイズに抑える為、パッケージを包装紙とプチプチ緩衝材で梱包しての発送となりますので宜しくお願い致します。それでは、ノークレームノーリターンでお願い致します。 , 目立った傷や汚れなし ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/81979c67512adcbcbd77e461c269911114af2853/i-img1200x1163-1603794850md02uv1922657.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/81979c67512adcbcbd77e461c269911114af2853/i-img1122x1200-1603794850dpfttm1922657.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/81979c67512adcbcbd77e461c269911114af2853/i-img900x1200-1603794850canhio1922657.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img334x500-1604391887qdcovl2154458.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img334x500-16043918884srmct14390.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img334x500-1604391889zrbxzs2267992.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img400x500-16043918898ilvcx713777.jpg,," 10,800",16200.0,0,16200.0,10800,0.7,0.7,16200.0,16200.0,18885.0,10800,8085.0,25,1000,0.5~0.8kg,1685,0,1888.5,736.5,100453.0,9853.7,-92368.0,-20.4,20433.7,-90819.3,27082.4,20433.7,15985.9
9,ARTFX+ スターウォーズ コトブキヤ シストルーパー,https://page.auctions.yahoo.co.jp/jp/auction/j660706923,j660706923,ARTFX+ スターウォーズ コトブキヤ シストルーパー,star wars,75708.0,42de-9cd4-607c47fb7f6e-j660706923-202011-0319-3701, コレクション整理の為出品致します。 開封済みアイテムですが、 写真3枚目のパーツ以外は使用しておりません。○汚れ・日焼け等のダメージはありません。○欠品はありません。〇当方、ペット、喫煙者はおりません。 〇恐れ入りますが、都合により配送が基本は週末となる可能性が高いです。 , 未使用に近い ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4e5721b24044ffedda96c50b6a773688297959e3/i-img900x1200-1602925165dpxga618935.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/4e5721b24044ffedda96c50b6a773688297959e3/i-img900x1200-16029251657ddx2468417.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0110/users/81979c67512adcbcbd77e461c269911114af2853/i-img900x1200-1603794850canhio1922657.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img334x500-1604391887qdcovl2154458.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img334x500-16043918884srmct14390.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img334x500-1604391889zrbxzs2267992.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/users/d7ed01087571a607709a70019e161af7f7b345fa/i-img400x500-16043918898ilvcx713777.jpg,," 8,000",12000.0,0,12000.0,8000,0.7,0.7,12000.0,12000.0,14685.0,8000,6685.0,25,1000,0.5~0.8kg,1685,0,1468.5,572.7,100453.0,7287.5,-93768.0,-15.7,15851.1,-92601.9,21008.7,15851.1,12400.8
