,タイトル,URL_y,ID,Title,main key,Category,SKU,説明,状態_y,画像1,画像2,画像3,画像4,画像5,画像6,画像7,現在価格,即決価格,相場価格,自己設定価格,最高販売価格,最安仕入価格,kg,integrated,相場価格,最高販売価格,最高売値,最安仕入価格,粗利,希望利益率,仕入送料,送料設定,送料,出品料,落札料,Paypal,支出合計,仕入れ値上限,営業利益,利益率,販売額,希望営業利益,Positive,Middle,Negative
0,密教 法具 前具◆金剛鈴/金剛盤 五鈷杵 三鈷杵 独鈷杵 火舎香炉 一面器 六器一組 仏器一対華瓶一対 洒水器 全20種 ,https://page.auctions.yahoo.co.jp/jp/auction/g476321684,g476321684, Esoteric Buddhist esoteric Buddhist esoteric B...,incense burner,73466.0,4ac8-82c6-ae3db0269d32-g476321684-202012-1420-0857, 商品詳細★商品状態：新品素材：純銅重さ：約 ３.5kg用途： 東密法器、 仏教用品サイズ ：金剛盤：14.5cm金剛鈴 高さ：11cm幅:5cm独鈷杵 高さ：8.5cm三鈷杵 高さ：8.5cm五鈷杵 高さ：8.5cm茶湯器 高さ： 6cm幅:7cm六器 高さ: ４．８cm幅:３．５cm火舎 高さ: 8 cm幅:7.5cm飯器 高さ： 5cm幅４．５:cm花瓶 高さ： 8cm幅:3cm柄香炉 高さ: 6cm幅:6cm 長さ：1４cm錫杖 杖部分の長さ約15cmx巾約6cm 全長約35cm □支払詳細・Yahoo!かんたん決済□発送詳細・発送飛脚宅配便(佐川急便)・ご入金確認次第、通常7～13営業日以内に発送致しますが・わかり難い点がございましたら、大変お手数をおかけしますが、メール又は質問にてお尋□注意事項★商品の画像はお客様のモニターの設定により、色味に違いが発生してしまう場合もございます。 ※在庫切れ可能があります、商品変更か取引キャンセルか対応する場合がございますので、是非、その時ご理解とご容赦のほどよろしくお願いします。★基本的に入札後、落札後のキャンセルはお受けいたしておりません。★失礼しますが、商品や取引に関するなにか質問がございましたら、入札前にご提出いただければと存じます。ご不明な点があればお気軽にご質問等下さい。★ 品質に極端なこだわりをお持ちの方、極端に神経質な方はご入札ご遠慮ください。★お互いために、神経質な方のご入札はご遠慮ください。★ご不明な点がございましたら、ご入札前にご質問ください。★お客様のイメージ違いなどのご返品をお受付出来かねます。初期不良の場合、返品対応可能です。以上、ご了承いただいた上でご入札下さいますよう、お願い致します。ここまでご覧いただき、ありがとうございました。 , 未使用 ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/11ba0ebcf5604472c8e7ef224a4f98e8aa966421/i-img600x372-1607262533gd2kt920592.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/11ba0ebcf5604472c8e7ef224a4f98e8aa966421/i-img600x411-1607262533mxp7wq887987.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/11ba0ebcf5604472c8e7ef224a4f98e8aa966421/i-img600x588-1607262533jqgset938896.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/11ba0ebcf5604472c8e7ef224a4f98e8aa966421/i-img600x600-1607262533vyf1be34298.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/11ba0ebcf5604472c8e7ef224a4f98e8aa966421/i-img600x600-1607262533cf2vbp22030.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/11ba0ebcf5604472c8e7ef224a4f98e8aa966421/i-img600x450-1607262533brxasm786527.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/11ba0ebcf5604472c8e7ef224a4f98e8aa966421/i-img600x450-1607262533heubc8938891.jpg,," 29,500",44250.0,0,44250.0,29500.0,0.7,0.7,44250.0,44250.0,46935.0,29500.0,17435.0,25,1000,0.5~0.8kg,1685,0,4693.5,1830.5,118218.6,26992.3,-100783.6,-46.6,51039.3,-96679.3,67646.4,51039.3,39929.6
1,【gallery花＊雅　京都店】　　交趾干支香合 兎　　中村翠嵐　作,https://page.auctions.yahoo.co.jp/jp/auction/n474712929,n474712929, [Gallery Hana * Miyabi Kyoto store] Cochin war...,incense burner,73466.0,4643-9f45-91de2014a5e1-n474712929-202012-1420-0857, 卯年の交趾干支香合です。小ぶりな香合で、背中を丸めてうずくまる姿が愛らしい景色です。作は昭和１７年京都生まれ 中村翠嵐 です。傷や欠けはございません。木箱の縁にあたりがございます。径：３．６×５．４㎝ 高さ：４．１㎝注意事項：共箱・共布・紙箱が付属します。※京都店で販売いたしておりますため予告なくオークションを取り消す場合がございます。店頭でお品物をご確認いただけます。※中古品になります。不明点はご質問ください。 , 目立った傷や汚れなし ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/5/2/4/5/sadougu_ichiba-img1023x1200-1607582217aoojsd6114.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/5/2/4/5/sadougu_ichiba-img1200x1016-1607582217xo9hqf6114.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/5/2/4/5/sadougu_ichiba-img1082x1200-1607582217ey3nay6114.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/5/2/4/5/sadougu_ichiba-img1200x1050-1607582217bmwl6q6114.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/5/2/4/5/sadougu_ichiba-img1200x888-1607582217pzgwzk6114.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/5/2/4/5/sadougu_ichiba-img1200x1000-1607582217utzdwi6114.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/5/2/4/5/sadougu_ichiba-img1101x1200-1607582217jgcvak6114.jpg,," 8,000",12000.0,0,12000.0,8000.0,0.7,0.7,12000.0,12000.0,14685.0,8000.0,6685.0,25,1000,0.5~0.8kg,1685,0,1468.5,572.7,118218.6,7287.5,-111533.6,-13.2,15851.1,-110367.5,21008.7,15851.1,12400.8
2,z006 蓮田修吾郎作 白銅 花咲兎 丁卯香炉 茶道具 共箱 ウサギ,https://page.auctions.yahoo.co.jp/jp/auction/n480664986,n480664986, z006 Made by Shugoro Hasuda Cupronickel Hanasa...,incense burner,73466.0,4409-a722-42fda80d1630-n480664986-202012-1420-0857, z006 蓮田修吾郎作 白銅 花咲兎 丁卯香炉 茶道具 共箱 ウサギ商品説明寸法（約） 全長10㎝詳細、商品状態につきまして掲載写真をご確認お願いいたします。注意事項商品説明、商品写真をご確認、ご納得いただいたうえでご入札ください。かんたん決済移行に伴い領収書の発行はしておりません。かんたん決済明細をご活用ください。近県倉庫からの発送となる商品もございます。こちらの商品案内は 「■@即売くん5.20■」 で作成されました。この他にも出品しておりますので宜しければご覧ください。 , 目立った傷や汚れなし ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/cd3f8d265ad83fdec64b10a7716069514b06ea02/i-img1200x900-1607936195nljbr41097592.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/cd3f8d265ad83fdec64b10a7716069514b06ea02/i-img1200x900-1607936195lh4jid1063132.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/cd3f8d265ad83fdec64b10a7716069514b06ea02/i-img1200x900-16079361955ttrtl20748.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/cd3f8d265ad83fdec64b10a7716069514b06ea02/i-img1200x900-1607936195rmwgci1384440.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/cd3f8d265ad83fdec64b10a7716069514b06ea02/i-img1200x900-1607936196ewh6pg1344093.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/cd3f8d265ad83fdec64b10a7716069514b06ea02/i-img1200x900-1607936196upm95r21132.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/cd3f8d265ad83fdec64b10a7716069514b06ea02/i-img1200x900-1607936196m4pvx51366623.jpg," 5,500","10,000",16500.0,0,16500.0,10000.0,0.7,0.7,16500.0,16500.0,19185.0,10000.0,9185.0,25,1000,0.5~0.8kg,1685,0,1918.5,748.2,118218.6,10037.0,-109033.6,-17.6,19124.4,-109094.20000000001,25347.1,19124.4,14961.6
3,【泰】即決！ 中国 古銅 香炉 ゆったり道中『のったり仙人』香炉 (幅24cm 奥10cm 高26cm)／煎茶 抹茶 鉄瓶 蒐集鑑賞 彫刻 ブロンズ 値下げ!,https://page.auctions.yahoo.co.jp/jp/auction/g477604810,g477604810, [Thai] Prompt decision! Chinese old copper inc...,incense burner,73466.0,4434-8259-cbdab9b4b187-g477604810-202012-1420-0857," 【泰】即決！ 中国 古銅 香炉 ゆったり道中 『のったり仙人』 香炉 商品詳細 安価にて出品しておりますので、多数のご入札よろしくお願いいたします。 サイズ（約） 幅 24㎝ 高さ 26cm 奥行 10cm 重さ 1,700g 中古商品につき、現状での出品をご理解いただき、画像を見てご確認の上、ご入札をお願いいたします。 （返品不可） 支払詳細 かんたん決済 発送詳細 着払い ゆうパックで大分から発送 注意事項 さくら入札はございませんので、安心してご入札下さい。 コメント ご質問がございましたら、お気軽にお問合せ下さい。 ほかにも出品しています。よろしければご覧ください + + + この商品説明は オークションプレートメーカー２ で作成しました + + +No.212.001.003 ", 目立った傷や汚れなし ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/9cbf64caf59f89d474b62c0b672c7497b414ceba/i-img1200x1200-1607778609apwjtf2418.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/9cbf64caf59f89d474b62c0b672c7497b414ceba/i-img1200x1200-1607778609q40syj2418.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/9cbf64caf59f89d474b62c0b672c7497b414ceba/i-img1200x1200-1607778609u9evgd2418.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/9cbf64caf59f89d474b62c0b672c7497b414ceba/i-img1200x1200-1607778609qt6toh2418.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/9cbf64caf59f89d474b62c0b672c7497b414ceba/i-img1200x1200-1607778609ir2myb2418.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/9cbf64caf59f89d474b62c0b672c7497b414ceba/i-img1200x1200-16077786098bfy8f2418.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/9cbf64caf59f89d474b62c0b672c7497b414ceba/i-img1200x1200-1607778609knf8ia2418.jpg," 14,000","15,000",42000.0,0,42000.0,15000.0,0.7,0.7,42000.0,42000.0,44685.0,15000.0,29685.0,25,1000,0.5~0.8kg,1685,0,4468.5,1742.7,118218.6,25617.5,-88533.6,-50.5,27307.7,-105910.90000000001,36193.1,27307.7,21363.6
4,香炉　龍　銅器大明宣徳年製,https://page.auctions.yahoo.co.jp/jp/auction/g477486910,g477486910, Incense burner dragon copperware made by Xuand...,incense burner,73466.0,40ac-8188-2da1428daba0-g477486910-202012-1420-0857," 銅器香炉龍重さ約1,７㎏ 高さ約25,5㎝１４×15㎝ぐらいです。 ", 目立った傷や汚れなし ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95965962cfbe5297617cee30f3bce11b5c41e268/i-img675x1200-1607737333cmixlt1235241.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95965962cfbe5297617cee30f3bce11b5c41e268/i-img675x1200-1607737343s2udfs1240045.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95965962cfbe5297617cee30f3bce11b5c41e268/i-img675x1200-1607737354lrpg2i2778.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95965962cfbe5297617cee30f3bce11b5c41e268/i-img675x1200-1607737370fcr9fu3261.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95965962cfbe5297617cee30f3bce11b5c41e268/i-img1200x675-1607737384fpcicr1256458.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95965962cfbe5297617cee30f3bce11b5c41e268/i-img1200x675-1607737410ewghur1240091.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95965962cfbe5297617cee30f3bce11b5c41e268/i-img1200x675-1607737441ix5cev1235330.jpg,," 12,000",18000.0,0,18000.0,12000.0,0.7,0.7,18000.0,18000.0,20685.0,12000.0,8685.0,25,1000,0.5~0.8kg,1685,0,2068.5,806.7,118218.6,10953.5,-109533.6,-18.9,22397.7,-107820.90000000001,29685.5,22397.7,17522.4
5,伽羅《月の舟》聞香　組香　香炉　香木　甘い香り　香道,https://page.auctions.yahoo.co.jp/jp/auction/l644202722,l644202722," Kyara ""Moon Boat"" Agarwood Kumika Incense Burn...",incense burner,73466.0,4fee-94ce-5617d05c1ba3-l644202722-202012-1420-0857, 商品説明伽羅『銘 月の舟』です！とても良い香りのする文句なしの一品です。小さいですが沈水します！注意事項・すべての出品物は骨董品、中古品ですので、説明しきれない時代物としてのスレ、小傷、変色、等ございます。そういった経年の欠点を気になさる方、神経質な方は入札をされない方が良いかと思います。そういう時代感等をご理解していただける方からの入札お待ちしております。また新規の方、極端に悪い評価が多い方のご入札は取り消しさせていただくことがございますので、お求めの際は質問欄より一言頂けると幸いです。・特殊機材による撮影、計測等は行っていませんので、写真による色の誤差や実寸の誤差が生じる場合もございます。・基本的には売り切りですが希望価格に達しない場合取り消しする事がございます。ご了承の上、御入札の程よろしくお願いいたします。・原則ご落札後、一週間以内にご入金出来る方のみご入札お願いします。分かる範囲内でお答え致しますのでご不明点等ございましたらお気軽にご質問ください。落札された場合誠心誠意ご対応させて頂きます , 未使用に近い ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/3f4c0ae4df1cc808047e2cf17d89df4da50b8fc2/i-img1200x1200-1607864214wdavim1295287.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/3f4c0ae4df1cc808047e2cf17d89df4da50b8fc2/i-img1200x1200-1607864214vtaxss1295287.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/3f4c0ae4df1cc808047e2cf17d89df4da50b8fc2/i-img1200x1200-1607864214ysrts91295287.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/3f4c0ae4df1cc808047e2cf17d89df4da50b8fc2/i-img1200x1200-1607864214ni8e3p1295287.jpg,,,," 1,000","30,000",3000.0,0,30000.0,3000.0,0.7,0.7,3000.0,30000.0,32685.0,3000.0,29685.0,25,1000,0.5~0.8kg,1685,0,3268.5,1274.7,118218.6,18285.5,-88533.6,-36.9,7667.8,-113550.8,10162.7,7667.8,5998.7
6,【宏】752) 釜師 越後堀家の系譜 高木幾望 「鋳銅 銀魚鈕 建水」 茶道具 共箱/(新潟燕堀政五郎彫金鎚起銅器茶道具水指香炉),https://page.auctions.yahoo.co.jp/jp/auction/p818833604,p818833604, [Hiroshi] 752) Genealogy of the Echigobori fam...,incense burner,73466.0,4e50-9521-8ceaa8ee2f5a-p818833604-202012-1420-0857, ～タイトルの /以降に記載の文言は検索用です。商品とは関係のない文言です。商品説明欄をご確認の上入札してください。～ ※モニター等により現物と色味が多少異なる場合があります。ご了承下さい。 xvpbvx もろはし美術店 HPはここをクリック ※モニター等により現物と色味が多少異なる場合があります。ご了承下さい。, 傷や汚れあり ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95379501ea7fa059b3f0753cbce309d8d8c7070d/i-img900x1199-1607932457osllqf1060973.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95379501ea7fa059b3f0753cbce309d8d8c7070d/i-img900x675-1607932457e3czgo1060973.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95379501ea7fa059b3f0753cbce309d8d8c7070d/i-img900x1200-1607932457acqr7w1060973.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95379501ea7fa059b3f0753cbce309d8d8c7070d/i-img900x1200-1607932457ubdjy51060973.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95379501ea7fa059b3f0753cbce309d8d8c7070d/i-img900x675-1607932457pzqjpe1060973.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95379501ea7fa059b3f0753cbce309d8d8c7070d/i-img900x675-1607932457jpkbhn1060973.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/95379501ea7fa059b3f0753cbce309d8d8c7070d/i-img900x1200-1607932457wttpyw1060973.jpg,," 50,000 ",75000.0,0,75000.0,50000.0,0.7,0.7,75000.0,75000.0,77685.0,50000.0,27685.0,25,1000,0.5~0.8kg,1685,0,7768.5,3029.7,118218.6,45780.5,-90533.6,-85.8,84590.8,-83627.8,112115.0,84590.8,66178.0
7,香炉 深川製磁 香道具 青磁 香炉 有田焼 深川製磁 宮内庁御用達 未使用品,https://page.auctions.yahoo.co.jp/jp/auction/v748619319,v748619319, Incense burner Fukagawa Seiji Incense tool Cel...,incense burner,73466.0,46d6-8589-6b2954643d07-v748619319-202012-1420-0857, 未使用品の香炉が一点でございます。高さ:14.5cm重さ:585g.胴径:14.5cm桐箱無し、ゆうパック発送:1000円 , 未使用 ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/c083bea5961c12e746a33c77d54282769ef19c95/i-img1200x675-1607858469pliluz1331307.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/c083bea5961c12e746a33c77d54282769ef19c95/i-img675x1200-1607858469wdyrim1331307.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/c083bea5961c12e746a33c77d54282769ef19c95/i-img1200x675-1607858469fmqrwz1331307.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/c083bea5961c12e746a33c77d54282769ef19c95/i-img1200x675-1607858469ekatkc1331307.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/c083bea5961c12e746a33c77d54282769ef19c95/i-img1200x675-1607858469xzcg8o1331307.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/c083bea5961c12e746a33c77d54282769ef19c95/i-img1200x675-1607858469salvwb1331307.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/c083bea5961c12e746a33c77d54282769ef19c95/i-img1200x675-16078584699wz3ko1331307.jpg," 6,000","8,000",18000.0,0,18000.0,8000.0,0.7,0.7,18000.0,18000.0,20685.0,8000.0,12685.0,25,1000,0.5~0.8kg,1685,0,2068.5,806.7,118218.6,10953.5,-105533.6,-19.6,15851.1,-110367.5,21008.7,15851.1,12400.8
8,香炉　銅製　置物　風水,https://page.auctions.yahoo.co.jp/jp/auction/j699916124,j699916124, Censer copper figurine Feng Shui,incense burner,73466.0,4277-a5be-cb066c2cd9b4-j699916124-202012-1420-0857, 香炉 獅子 龍 銅製開運風水 九龍香炉 大 香炉 茶器 酒壺 香立て 開運風水龍置物 おしゃれ オフィス 玄関先 お香たて 香皿 香立 祝い 誕生日 プレゼント バリ雑貨 アジアン 雑貨 仏像 開運祈願 金運祈願 新品 サイズ:約高さ15cm*横幅13cm 重量:約550g 材質:銅製 龍は、風水の象徴とも言われるように、力と招運を兼ね揃えた存在であり、四神においては東の守り神として良く知られています。 龍は、はるか昔に考えられた架空の生き物とされています。 その頭はラクダ、体は蛇、角は鹿、眼は鬼、鼻は獅子、耳は牛、掌は虎、爪は鷹、尾は魚をモデルにされたとされ（諸説あり）、大空を自由に飛び回り、大海や大河をスイスイと泳ぐことが出来るところは、“この世に龍の行けない所など無い”という万能性を表しており、これだけでも古くから人々が龍に対して特別な思いを抱いていたことを窺い知ることが出来ます。 , 未使用 ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/1cd4d3c61f2514749a81ef6b35daa9d1307dd657/i-img1080x810-1607934524fxqnqs1045349.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/1cd4d3c61f2514749a81ef6b35daa9d1307dd657/i-img1080x810-1607934524qlg02t1045349.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/1cd4d3c61f2514749a81ef6b35daa9d1307dd657/i-img1080x810-1607934524olvffv1045349.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/1cd4d3c61f2514749a81ef6b35daa9d1307dd657/i-img1080x810-1607934525j7sbhx1045349.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/1cd4d3c61f2514749a81ef6b35daa9d1307dd657/i-img810x1080-160793452530guty1045349.jpg,,,," 6,500",9750.0,0,9750.0,6500.0,0.7,0.7,9750.0,9750.0,12435.0,6500.0,5935.0,25,1000,0.5~0.8kg,1685,0,1243.5,485.0,118218.6,5912.8,-112283.6,-11.1,13396.1,-111322.5,17754.9,13396.1,10480.2
9,珍品　御庭焼　偕楽園製　紫交趾　獅子　唐獅子　香炉　香道具　茶道具　紀州徳川家　偕楽園焼　古美術　古玩,https://page.auctions.yahoo.co.jp/jp/auction/v769668464,v769668464," Rare item, Oniwa-yaki, Kairakuen-made purple c...",incense burner,73466.0,4251-8a93-c62ed2bf672e-v769668464-202012-1420-0857," 珍品 御庭焼 偕楽園製 紫交趾 獅子 唐獅子 香炉 香道具 茶道具 紀州徳川家 偕楽園焼 古美術 古玩 商 品 説 明サイズ 幅13ｃｍ 奥行9ｃｍ 高さ12ｃｍ多少の誤差はご容赦願います。とても古く珍しい御庭焼偕楽園製の紫交趾獅子香炉です。高価な数少ない偕楽園製で牙から鋭い爪先や巻毛まで丁寧に緻密に造られており非の打ち所がないとても飾り映えする貴重な極上の逸品です。撮影が下手で画像が悪いですが欠けもニュウも一切ないお品です。欠け（当り傷）、ニュウ（当りひび）、直し（補修）も一切なく保存状態極めて良好です。古い品物ですので焼成時の窯傷、経年劣化に伴う擦れ、汚れ等は画像や商品説明をご納得のうえご入札をお願いいたします。気になる点がございましたら質問欄よりお問い合わせください。即決希望のお問い合わせが多いので今回も何点か即決価格を設定いたします。申し訳ございませんが半額以下の即決価格にも満たない余りにも低価格の場合には残念ながらオークションの取り消しをする時もございますのでご容赦願います。 注 意 事 項※パソコン機種やカメラ撮影等により画像の色合いが実際の色合いと多少相違する場合がございます。※入札価格が余りにも低価格の場合にはオークションの取り消しをさせていただく時がございます。※複数ご落札の場合には可能な限り同梱いたしますがサイズアップで送料が変わる時がございます。※入札、落札のキャンセルは他の方々とのトラブル防止のため一切お受けできません。※お取引は迅速にノークレーム、ノーリターンでお願いいたします。※落札後24時間以内に取引開始をお願いいたします。 支 払 方 法Yahoo!かんたん決済PayPay クレジットカード ジャパンネット銀行支払い 銀行振込 コンビニ支払い Tポイント等で決済できます。お支払いは落札価格+送料になります。 発 送 詳 細発送はゆうパック（補償付）のみです。送料は下記の料金一覧表をご覧ください。 ゆうパック◆茨城県発 料金サイズ県内北海道東北関東信越北陸東海近畿中国四国九州沖縄茨城県北海道青森県岩手県秋田県宮城県山形県福島県茨城県栃木県群馬県埼玉県千葉県東京都神奈川県山梨県新潟県長野県富山県石川県福井県静岡県愛知県三重県岐阜県滋賀県京都府大阪府兵庫県奈良県和歌山県鳥取県岡山県島根県広島県山口県香川県徳島県愛媛県高知県福岡県佐賀県大分県熊本県長崎県宮崎県鹿児島県沖縄県60サイズ810円1,300円870円870円870円870円870円970円1,100円1,100円1,300円1,350円* * * この案内は、大きな写真が何枚でも追加できる いめーじあっぷで作成しました。（無料） * * * ", 目立った傷や汚れなし ,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/f3e5f182c23d7719f3375d300ab94152217b2d0d/i-img1200x900-1607666322djd8ha1221210.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/f3e5f182c23d7719f3375d300ab94152217b2d0d/i-img1200x900-1607666322opbr5f79114.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/f3e5f182c23d7719f3375d300ab94152217b2d0d/i-img1200x900-1607666322tbk0jq1204610.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/f3e5f182c23d7719f3375d300ab94152217b2d0d/i-img1200x900-1607666322fqvljm932456.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/f3e5f182c23d7719f3375d300ab94152217b2d0d/i-img1200x900-1607666322odjgii927789.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/f3e5f182c23d7719f3375d300ab94152217b2d0d/i-img1200x900-1607666322rqe9gd10549.jpg,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0112/users/f3e5f182c23d7719f3375d300ab94152217b2d0d/i-img1200x900-1607666322sq4i5c16683.jpg," 1,500","20,000",4500.0,0,20000.0,4500.0,0.7,0.7,4500.0,20000.0,22685.0,4500.0,18185.0,25,1000,0.5~0.8kg,1685,0,2268.5,884.7,118218.6,12175.5,-100033.6,-22.7,10122.7,-112595.90000000001,13416.5,10122.7,7919.3
