,kg,integrated,相場価格,最高販売価格,最高売値,最安仕入価格,粗利,希望利益率,仕入送料,送料設定,送料,出品料,落札料,Paypal,支出合計,仕入れ値上限,営業利益,利益率,販売額,希望営業利益,Positive,Middle,Negative
0,0.7,0.7,44250.0,44250.0,46935.0,29500.0,17435.0,25,1000,0.5~0.8kg,1685,0,4693.5,1830.5,118218.6,26992.3,-100783.6,-46.6,51039.3,-96679.3,67646.4,51039.3,39929.6
1,0.7,0.7,12000.0,12000.0,14685.0,8000.0,6685.0,25,1000,0.5~0.8kg,1685,0,1468.5,572.7,118218.6,7287.5,-111533.6,-13.2,15851.1,-110367.5,21008.7,15851.1,12400.8
2,0.7,0.7,16500.0,16500.0,19185.0,10000.0,9185.0,25,1000,0.5~0.8kg,1685,0,1918.5,748.2,118218.6,10037.0,-109033.6,-17.6,19124.4,-109094.20000000001,25347.1,19124.4,14961.6
3,0.7,0.7,42000.0,42000.0,44685.0,15000.0,29685.0,25,1000,0.5~0.8kg,1685,0,4468.5,1742.7,118218.6,25617.5,-88533.6,-50.5,27307.7,-105910.90000000001,36193.1,27307.7,21363.6
4,0.7,0.7,18000.0,18000.0,20685.0,12000.0,8685.0,25,1000,0.5~0.8kg,1685,0,2068.5,806.7,118218.6,10953.5,-109533.6,-18.9,22397.7,-107820.90000000001,29685.5,22397.7,17522.4
5,0.7,0.7,3000.0,30000.0,32685.0,3000.0,29685.0,25,1000,0.5~0.8kg,1685,0,3268.5,1274.7,118218.6,18285.5,-88533.6,-36.9,7667.8,-113550.8,10162.7,7667.8,5998.7
6,0.7,0.7,75000.0,75000.0,77685.0,50000.0,27685.0,25,1000,0.5~0.8kg,1685,0,7768.5,3029.7,118218.6,45780.5,-90533.6,-85.8,84590.8,-83627.8,112115.0,84590.8,66178.0
7,0.7,0.7,18000.0,18000.0,20685.0,8000.0,12685.0,25,1000,0.5~0.8kg,1685,0,2068.5,806.7,118218.6,10953.5,-105533.6,-19.6,15851.1,-110367.5,21008.7,15851.1,12400.8
8,0.7,0.7,9750.0,9750.0,12435.0,6500.0,5935.0,25,1000,0.5~0.8kg,1685,0,1243.5,485.0,118218.6,5912.8,-112283.6,-11.1,13396.1,-111322.5,17754.9,13396.1,10480.2
9,0.7,0.7,4500.0,20000.0,22685.0,4500.0,18185.0,25,1000,0.5~0.8kg,1685,0,2268.5,884.7,118218.6,12175.5,-100033.6,-22.7,10122.7,-112595.90000000001,13416.5,10122.7,7919.3
10,0.7,0.7,3000.0,30000.0,32685.0,3000.0,29685.0,25,1000,0.5~0.8kg,1685,0,3268.5,1274.7,118218.6,18285.5,-88533.6,-36.9,7667.8,-113550.8,10162.7,7667.8,5998.7
11,0.7,0.7,20400.0,25000.0,27685.0,20400.0,7285.0,25,1000,0.5~0.8kg,1685,0,2768.5,1079.7,118218.6,15230.5,-110933.6,-25.0,36145.7,-102472.90000000001,47906.7,36145.7,28277.8
12,0.7,0.7,22470.0,22470.0,25155.0,14980.0,10175.0,25,1000,0.5~0.8kg,1685,0,2515.5,981.0,118218.6,13684.7,-108043.6,-23.3,27275.0,-105923.6,36149.7,27275.0,21338.0
13,0.7,0.7,10500.0,10500.0,13185.0,7000.0,6185.0,25,1000,0.5~0.8kg,1685,0,1318.5,514.2,118218.6,6371.0,-112033.6,-11.8,14214.4,-111004.20000000001,18839.5,14214.4,11120.4
14,0.7,0.7,6000.0,6000.0,8685.0,4500.0,4185.0,25,1000,0.5~0.8kg,1685,0,868.5,338.7,118218.6,3621.5,-114033.6,-7.6,10122.7,-112595.90000000001,13416.5,10122.7,7919.3
15,0.7,0.7,3000.0,30000.0,32685.0,3000.0,29685.0,25,1000,0.5~0.8kg,1685,0,3268.5,1274.7,118218.6,18285.5,-88533.6,-36.9,7667.8,-113550.8,10162.7,7667.8,5998.7
16,0.7,0.7,14997.0,14997.0,17682.0,9998.0,7684.0,25,1000,0.5~0.8kg,1685,0,1768.2,689.6,118218.6,9118.7,-110534.6,-16.0,19121.1,-109095.5,25342.7,19121.1,14959.0
17,0.7,0.7,3000.0,30000.0,32685.0,3000.0,29685.0,25,1000,0.5~0.8kg,1685,0,3268.5,1274.7,118218.6,18285.5,-88533.6,-36.9,7667.8,-113550.8,10162.7,7667.8,5998.7
